M1,M2
MVC,124,MVC,350
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,1
1,1
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
2,2
2,2
2,2
3,2
4,2
4,2
5,2
7,2
7,2
9,2
9,2
12,2
12,2
14,2
14,2
16,2
19,2
21,3
26,3
26,3
32,3
39,3
39,3
47,4
47,4
54,4
54,4
61,5
67,5
67,5
67,5
67,5
74,6
76,6
78,6
78,6
79,6
79,6
79,6
79,6
77,5
74,5
70,5
70,5
67,5
66,6
66,6
65,6
65,6
65,7
65,7
67,8
70,9
70,9
74,10
74,10
80,12
80,12
86,14
93,15
97,16
97,16
97,16
98,16
96,16
92,14
92,14
86,13
86,13
82,12
80,11
80,11
80,11
81,12
84,13
87,14
87,14
87,14
92,15
95,16
95,16
101,17
101,17
101,17
101,17
111,19
113,21
114,22
114,22
114,22
112,23
111,24
111,24
111,23
111,23
111,22
109,22
109,22
110,22
110,22
108,22
107,22
104,22
104,22
104,22
100,22
97,23
97,23
94,23
94,23
86,21
72,18
72,18
61,15
49,12
49,12
49,12
38,10
38,10
32,9
23,7
17,6
17,6
10,5
6,4
6,4
4,4
4,4
3,4
3,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
