M1,M2
MVC,124,MVC,350
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,5
1,6
1,6
1,6
1,6
1,7
1,8
1,8
1,9
1,9
1,10
1,10
1,12
1,12
2,15
2,15
2,17
2,19
2,19
2,20
2,20
2,22
2,22
2,22
2,22
2,22
2,22
2,23
2,23
2,25
2,26
2,26
2,26
2,26
2,31
2,31
2,36
2,36
2,40
2,42
2,46
2,46
2,46
2,50
2,50
2,55
2,56
2,57
2,57
2,57
2,56
2,56
2,55
2,55
2,55
2,55
2,55
2,56
2,56
3,58
3,58
3,61
3,61
4,68
4,68
4,68
4,72
4,72
4,75
4,75
4,78
4,81
4,82
4,82
4,82
4,87
4,87
4,97
4,97
5,103
5,103
5,107
6,109
6,109
6,114
7,120
7,120
7,120
7,120
9,141
9,141
11,152
12,165
12,165
12,165
13,177
13,177
13,183
13,189
13,186
13,186
13,186
12,181
12,181
11,170
9,156
7,129
7,129
7,129
6,113
6,113
5,99
5,84
