M1,M2
MVC,260,MVC,239
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
4,2
4,2
5,2
7,2
7,2
9,2
9,2
11,2
11,2
11,2
11,2
15,2
18,2
20,2
20,2
20,2
21,2
20,2
17,2
14,2
14,2
12,2
9,2
9,2
9,2
6,2
6,2
4,3
4,3
3,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
3,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
3,2
4,2
4,2
4,2
5,2
5,2
6,2
6,2
6,2
6,2
7,2
7,2
9,2
11,2
11,2
12,2
14,2
14,2
16,2
19,2
19,2
20,2
20,2
22,2
22,2
23,2
23,2
25,2
28,2
28,2
31,2
31,2
33,2
33,2
36,2
36,2
40,2
48,3
48,3
51,3
60,3
60,3
60,3
72,3
72,3
92,4
92,4
92,4
104,4
109,4
109,4
109,4
109,4
121,5
121,5
128,5
134,5
139,5
139,5
146,5
147,5
147,5
147,5
146,5
142,5
138,5
140,5
140,5
140,5
145,5
145,5
158,5
168,6
176,6
176,6
176,6
194,7
216,8
216,8
230,8
230,8
249,10
249,10
254,11
259,11
259,11
260,12
260,12
258,12
254,12
247,12
247,12
247,12
246,12
246,12
245,11
241,10
233,9
233,9
229,9
224,8
214,8
214,8
214,8
214,8
194,8
194,8
174,7
150,7
150,7
150,7
130,6
99,5
99,5
71,4
71,4
46,3
46,3
27,3
9,3
1,2
3,2
5,2
5,2
5,2
6,2
5,2
4,2
4,2
4,2
2,2
2,2
1,2
0,2
0,2
0,2
0,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
